columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
STATUS_CHG_RSN_ID,50,100,VARCHAR2,0,50,STATUS_CHG_RSN_ID_9,STATUS_CHG_RSN_ID_10,STATUS_CHG_RSN_ID_52,STATUS_CHG_RSN_ID_14,STATUS_CHG_RSN_ID_34,,,N,,N
DELIVERY_METHOD_ID,50,100,VARCHAR2,0,50,DELIVERY_METHOD_ID_9,DELIVERY_METHOD_ID_10,DELIVERY_METHOD_ID_52,DELIVERY_METHOD_ID_14,DELIVERY_METHOD_ID_34,,,N,,N
DELIVERY_ADDRESS_ID,50,100,VARCHAR2,0,50,DEL_ADDRESS_ID_9,DEL_ADDRESS_ID_10,DEL_ADDRESS_ID_52,DEL_ADDRESS_ID_14,DEL_ADDRESS_ID_34,,,N,,N
ACTUAL_TURNAROUND_DURATION,50,100,NUMBER,0,21,24,1,23,3,13.5,13.46,7.22,N,,Y
PLANNED_TURNAROUND_DURATION,50,100,NUMBER,0,22,24,1,22,2,14.5,13.28,6.96,N,,Y
FULFILLED_ONTIME_FLAG,50,100,NUMBER,0,2,1,0,1,0,0,0.48,0.5,N,,Y
ORDER_TAX_AMOUNT,50,100,NUMBER,0,31,15.8,10.1,15.5,10.7,13.45,13.26,1.74,N,,Y
ONE_TIME_CHARGE,50,100,NUMBER,0,43,197,11,168,20,109.5,99.82,57.73,N,,Y
UPFRONT_CHARGE,50,100,NUMBER,0,28,50,10,45,12,32,29.7,12.54,N,,Y
MONTHLY_RECURRING_CHARGE,50,100,NUMBER,0,36,80,11,74,18,41,43.9,20.44,N,,Y
MONTHLY_DISCOUNT,50,100,NUMBER,0,40,80,12,72,15,39,42.92,20.95,N,,Y
ONE_TIME_DISCOUNT,50,100,NUMBER,0,28,55,10,53,12,35,34.96,14.63,N,,Y
DELIVERY_ATTEMPT_COUNT,50,100,NUMBER,0,33,99,50,96,56,78.5,77.22,14.1,N,,Y
CREATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
UPDATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
CREATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-13,2018-08-13,2018-08-13,2018-08-13,2018-08-13,,,N,,N
UPDATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-13,2018-08-13,2018-08-13,2018-08-13,2018-08-13,,,N,,N
CREATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
UPDATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
